Date,Open,High,Low,Close,Adj Close,Volume
2013-05-27,71.400002,71.989998,71.349998,71.879997,71.879997,670305
2013-05-28,72.260002,73.250000,72.190002,72.309998,72.309998,1437762
2013-05-29,71.760002,73.040001,71.750000,72.419998,72.419998,1748559
2013-05-30,72.290001,73.709999,72.010002,73.150002,73.150002,1432106
2013-05-31,72.930000,74.160004,72.489998,73.690002,73.690002,2009895
2013-06-03,73.250000,74.260002,72.500000,73.110001,73.110001,1658421
2013-06-04,74.050003,74.480003,72.830002,73.300003,73.300003,1365717
2013-06-05,72.790001,73.449997,72.120003,72.379997,72.379997,1411789
2013-06-06,72.239998,72.599998,70.989998,71.050003,71.050003,1831545
2013-06-07,71.089996,72.699997,69.879997,72.199997,72.199997,2182110
2013-06-10,72.089996,72.879997,71.550003,72.489998,72.489998,1244098
2013-06-11,72.000000,72.230003,70.540001,71.410004,71.410004,1591006
2013-06-12,71.070000,71.370003,69.809998,70.160004,70.160004,1851352
2013-06-13,69.099998,69.760002,68.550003,69.160004,69.160004,2019214
2013-06-14,69.949997,70.540001,69.430000,70.029999,70.029999,2168197
2013-06-17,70.400002,71.120003,70.040001,70.550003,70.550003,1455662
2013-06-18,70.050003,70.120003,69.430000,69.870003,69.870003,2013697
2013-06-19,70.089996,70.169998,69.279999,69.800003,69.800003,1540885
2013-06-20,68.419998,68.709999,66.110001,66.430000,66.430000,3679654
2013-06-21,66.629997,66.930000,64.360001,64.360001,64.360001,4351948
2013-06-24,64.519997,65.330002,63.820000,64.040001,64.040001,3551142
2013-06-25,64.599998,66.320000,64.529999,65.919998,65.919998,2845461
2013-06-26,66.139999,66.900002,65.900002,66.769997,66.769997,2244382
2013-06-27,67.040001,67.720001,66.629997,67.290001,67.290001,1823867
2013-06-28,67.550003,68.120003,66.550003,67.180000,67.180000,2225631
2013-07-01,67.540001,67.970001,66.349998,67.279999,67.279999,1628394
2013-07-02,67.610001,67.639999,65.589996,66.430000,66.430000,1969226
2013-07-03,64.949997,66.150002,64.440002,66.120003,66.120003,2288806
2013-07-04,66.500000,68.000000,66.349998,67.699997,67.699997,1587857
2013-07-05,67.989998,68.669998,66.139999,66.199997,66.199997,1774163
2013-07-08,67.190002,68.669998,66.800003,67.900002,67.900002,1515412
2013-07-09,68.500000,69.529999,68.209999,69.029999,69.029999,1738159
2013-07-10,68.980003,69.320000,68.370003,69.000000,69.000000,1131534
